DATE,Cocoa,Sugar,Arabica Coffee
1/1/1980,3167.156982,17.29999924,168.6700134
2/1/1980,3236.822998,22.75,164.8299866
3/1/1980,3091.097656,19.63000107,184.3800049
4/1/1980,2910.098389,21.25,180.8099976
5/1/1980,2585.798828,30.93999863,190.5400085
6/1/1980,2498.054932,30.79999924,181.4100037
7/1/1980,2464.765137,27.70000076,155.6700134
8/1/1980,2312.205566,31.77000046,135.9899902
9/1/1980,2386.060303,34.74000168,125.8799973
10/1/1980,2305.371094,40.54999924,126.0899963
11/1/1980,2173.755371,37.81000137,114.859993
12/1/1980,2109.821289,28.79000092,121.2099915
1/1/1981,2093.066162,27.77999878,127.980011
2/1/1981,2040.81665,24.09000015,125.109993
3/1/1981,2115.773926,21.81000137,125.9299927
4/1/1981,2109.60083,17.83000183,128.2000122
5/1/1981,1933.010742,15.08000183,125.9299927
6/1/1981,1660.299316,16.38000107,111.9400024
7/1/1981,2048.3125,16.34000015,120.0100098
8/1/1981,2246.94873,14.75999832,124.0899963
9/1/1981,2337.117676,11.65000153,126.019989
10/1/1981,2172.653076,12.04000092,136.4100037
11/1/1981,2056.469482,11.97000122,143.7900085
12/1/1981,2104.530273,12.97999954,141.6700134
1/1/1982,2188.085449,12.90000153,143.8999939
2/1/1982,2087.11377,13.08000183,155
3/1/1982,1947.781738,11.25999832,144.8299866
4/1/1982,1745.397705,9.580001831,141.3999939
5/1/1982,1714.973877,8.11000061,137
6/1/1982,1571.673584,6.840000153,141.019989
7/1/1982,1578.287354,7.800000191,131.1099854
8/1/1982,1559.548096,6.769999981,132.8299866
9/1/1982,1686.093262,5.769999981,136.730011
10/1/1982,1638.032715,5.929999828,141.1799927
11/1/1982,1541.249756,6.519999981,137.8599854
12/1/1982,1643.544189,6.309999943,133.7900085
1/1/1983,1784.198975,6.03000021,128.5299988
2/1/1983,1942.270264,6.429999828,125.8700027
3/1/1983,1859.376465,6.199999809,124.269989
4/1/1983,1877.233887,6.710000038,123.9599915
5/1/1983,2065.067627,9.240001678,128.1499939
6/1/1983,2297.655029,10.74000168,126.3999863
7/1/1983,2302.725586,10.52999878,127.859993
8/1/1983,2302.946045,10.56000137,129.3099976
9/1/1983,2138.040527,9.430000305,132.5599976
10/1/1983,2094.388916,9.689998627,141.2799988
11/1/1983,2219.611328,8.330001831,145.5499878
12/1/1983,2540.824463,7.690000057,146.5400085
1/1/1984,2621.95459,6.96999979,143.1400146
2/1/1984,2497.393555,6.630000114,145.7200012
3/1/1984,2536.194824,6.429999828,148.2099915
4/1/1984,2536.415283,6,150.3999939
5/1/1984,2677.510986,5.610000134,149.9400024
6/1/1984,2485.047607,5.519999981,146.6600037
7/1/1984,2216.524902,4.539999962,143.3699951
8/1/1984,2213.658936,4.050000191,145.2900085
9/1/1984,2311.103027,4.099999905,140.2399902
10/1/1984,2257.310303,4.650000095,136.1199951
11/1/1984,2255.105713,4.380000114,140.25
12/1/1984,2140.465576,3.550000191,140.6400146
1/1/1985,2219.611328,3.610000134,145.5799866
2/1/1985,2273.404053,3.690000057,143.730011
3/1/1985,2232.398193,3.829999924,141.269989
4/1/1985,2240.775879,3.420000076,140.6600037
5/1/1985,2129.001465,2.820000172,141.9400024
6/1/1985,2091.743408,2.78000021,141.1600037
7/1/1985,2209.911133,3.179999828,134.3099976
8/1/1985,2275.388184,4.389999866,132.9299927
9/1/1985,2342.188232,5.119999886,133.0700073
10/1/1985,2363.13208,5.010000229,140.480011
11/1/1985,2297.655029,5.480000019,154.8500061
12/1/1985,2379.446289,5.320000172,196.769989
1/1/1986,2323.669434,4.840000153,235.2999878
2/1/1986,2218.509033,5.559999943,226.519989
3/1/1986,2107.175781,7.039999962,237.6199951
4/1/1986,1989.669434,8.330001831,224.0700073
5/1/1986,1905.673584,7.670000076,208.7399902
6/1/1986,1905.673584,6.340000153,174.5400085
7/1/1986,2022.297852,5.550000191,170.6300049
8/1/1986,2068,5.570000172,172.230011
9/1/1986,2206,4.679999828,198.3599854
10/1/1986,2073,5.389999866,175.9100037
11/1/1986,2024,5.949999809,154.6300049
12/1/1986,1976,5.699999809,134.3099976
1/1/1987,1976,6.480000019,121.75
2/1/1987,1965,7.389999866,119.6000137
3/1/1987,2011,7.559999943,102.0400085
4/1/1987,2072,6.679999828,106.2999878
5/1/1987,2068,6.710000038,116.3799973
6/1/1987,1997,6.440000057,103.7200012
7/1/1987,2127.100098,6.099999905,98.55999756
8/1/1987,2022,5.619999886,100.8999863
9/1/1987,1988,5.820000172,110
10/1/1987,1913,6.650000095,118.2600098
11/1/1987,1938,7.329999924,124.769989
12/1/1987,1896,8.299999237,125.2200012
1/1/1988,1973,9.669998169,126.3799973
2/1/1988,1799,8.430000305,137.1400146
3/1/1988,1685,8.520000458,134.7399902
4/1/1988,1649,8.540000916,134.2999878
5/1/1988,1698,8.900001526,136.3900146
6/1/1988,1624,10.56999969,141.8299866
7/1/1988,1610,14.02000046,139.2399902
8/1/1988,1448,11.18000031,128.8900146
9/1/1988,1239,10.15999985,134.8299866
10/1/1988,1304,10.27999878,130.4299927
11/1/1988,1473,10.84000015,132.0899963
12/1/1988,1503,11.22000122,144.9500122
1/1/1989,1435,9.799999237,149.5
2/1/1989,1483.88501,10.54000092,137.5726318
3/1/1989,1413,11.5,139.3800049
4/1/1989,1290,12.15999985,143.0599976
5/1/1989,1205,11.97999954,138.6499939
6/1/1989,1252,12.61000061,123.2099915
7/1/1989,1351.48999,14.00999832,85.91000366
8/1/1989,1292,14.04999924,77.3999939
9/1/1989,1140,14.13000107,77.83999634
10/1/1989,1064,14.43999863,67.76000977
11/1/1989,1010,15.02000046,70.72000122
12/1/1989,970,13.43000031,72.54998779
1/1/1990,995,14.20000076,75.82998657
2/1/1990,1022,14.65000153,84.01000977
